,stn_name,stn_id,stn_lon,stn_lat,stn_ele,stn_obs_hgt,stn_mnet_id,stn_tmzn,stn_datetime_start,stn_datetime_end,stn_state,stn_county,stn_cwa,stn_notes
520,3 Springs Road,PG477,-121.76211,37.36394,1515.0,10.0,229,America/Los_Angeles,2019-07-19 00:14:00,2019-10-09 19:20:00,CA,Santa Clara,MTR, 
425,Airline Highway,PG406,-121.18233,36.56704,1455.0,10.0,229,America/Los_Angeles,2019-05-23 21:14:00,2019-10-09 19:20:00,CA,San Benito,MTR, 
230,Airola Road,PG161,-120.46842,38.03895,1735.0,10.0,229,America/Los_Angeles,2018-10-25 20:34:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
310,Airport Road,PG273,-123.85446,40.19971,1797.0,10.0,229,America/Los_Angeles,2019-04-12 15:44:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
84,Alcalde,LDEC1,-120.498611,36.183333,2728.0,6.1,2,America/Los_Angeles,2017-10-25 17:26:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
382,Alder Point Road,PG343,-123.75931,40.41458,1890.0,10.0,229,America/Los_Angeles,2019-05-09 20:04:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
110,Alhambra Valley Road,PG008,-122.2008,37.96331,1008.0,10.0,229,America/Los_Angeles,2018-06-09 18:14:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
237,Alpine Road,PG152,-122.20147,37.30245,2031.0,10.0,229,America/Los_Angeles,2018-10-31 15:04:00,2019-10-09 19:20:00,CA,San Mateo,MTR, 
111,Alta-Bonnynook Road,PG028,-120.81131,39.20696,3566.0,10.0,229,America/Los_Angeles,2018-06-09 18:14:00,2019-10-09 19:20:00,CA,Placer,STO, 
10,Altamont,AATC1,-121.609333,37.693028,1436.0,6.1,2,America/Los_Angeles,2009-05-22 00:00:00,2019-10-09 19:12:00,CA,Alameda,MTR, 
357,Altatina Drive,PG337,-121.70226,39.81336,1808.0,10.0,229,America/Los_Angeles,2019-05-01 18:14:00,2019-10-09 19:20:00,CA,Butte,STO, 
535,American River Overlook,PG481,-120.80805,38.951,3018.0,10.0,229,America/Los_Angeles,2019-08-02 15:14:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
0,Amset Portable,TS678,-121.0186,39.2694,2585.0,6.1,2,America/Los_Angeles,2007-05-30 00:00:00,2009-08-14 21:26:00,CA,Nevada,STO, 
445,Antelope Road,PG374,-119.26313,36.70521,1804.0,10.0,229,America/Los_Angeles,2019-05-30 21:44:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
466,Anza Drive,PG435,-119.66628,37.061,1301.0,10.0,229,America/Los_Angeles,2019-06-12 00:14:00,2019-10-09 19:20:00,CA,Madera,HNX, 
398,Aptos Creek Road,PG352,-121.90301,36.98604,173.0,10.0,229,America/Los_Angeles,2019-05-15 03:14:00,2019-10-09 19:20:00,CA,Santa Cruz,MTR, 
548,Armstrong Road,PG392,-120.44913,38.23536,2684.0,10.0,229,America/Los_Angeles,2019-08-08 00:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
196,Arroyo Vista,PG111,-121.0545,38.73045,1081.0,10.0,229,America/Los_Angeles,2018-10-10 19:44:00,2019-10-09 19:10:00,CA,El Dorado,STO, 
39,Atlas Peak,ATLC1,-122.2648,38.474847,1934.0,6.1,2,America/Los_Angeles,2011-01-20 00:00:00,2019-10-09 18:29:00,CA,Napa,MTR, 
132,Atlas Peak Road,PG044,-122.24344,38.43476,1987.0,10.0,229,America/Los_Angeles,2018-06-15 17:24:00,2019-10-09 19:20:00,CA,Napa,MTR, 
278,Auberry And Jose Basin Road,PG220,-119.472,37.0894,2631.0,10.0,229,America/Los_Angeles,2019-03-14 14:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
276,Auberry Road,PG218,-119.4417,37.0863,4100.0,10.0,229,America/Los_Angeles,2019-03-14 14:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
465,Ave 380,PG426,-119.09951,36.47903,553.0,10.0,229,America/Los_Angeles,2019-06-12 00:14:00,2019-10-09 19:20:00,CA,Tulare,HNX, 
176,Avery Sheep Ranch Road,PG093,-120.3816,38.2054,3578.0,10.0,229,America/Los_Angeles,2018-08-22 14:24:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
322,Bair Road,PG253,-123.84179,40.96508,717.0,10.0,229,America/Los_Angeles,2019-04-15 20:24:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
495,Baker Ridge,PG438,-122.6601,40.49823,1890.0,10.0,229,America/Los_Angeles,2019-07-06 21:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
299,Bald Hill Road,PG277,-123.71456,41.11595,1633.0,10.0,229,America/Los_Angeles,2019-04-11 20:04:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
164,Bald Mountain,PG081,-123.19746,38.94239,2874.0,10.0,229,America/Los_Angeles,2018-08-16 00:34:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
264,Bald Mountain Road,PG202,-119.41238,37.06054,4620.0,10.0,229,America/Los_Angeles,2018-12-21 02:34:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
592,Bald Mountain Tower,PG490,-122.12194,38.78833,1800.0,10.0,229,America/Los_Angeles,2019-08-26 03:24:00,2019-10-09 19:20:00,CA,Yolo,STO, 
485,Banderilla Road,PG459,-120.3414,37.65452,1214.0,10.0,229,America/Los_Angeles,2019-06-25 03:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
126,Banner Road,PG025,-120.94354,39.2525,3580.0,10.0,229,America/Los_Angeles,2018-06-13 19:34:00,2019-10-09 19:20:00,CA,Nevada,STO, 
224,Banner Road South,PG148,-120.4824,38.2909,2640.0,10.0,229,America/Los_Angeles,2018-10-24 02:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
391,Bar Ranch Road,PG348,-121.16454,39.25555,1959.0,10.0,229,America/Los_Angeles,2019-05-11 20:34:00,2019-10-09 19:20:00,CA,Nevada,STO, 
42,Baron,RWBC1,-120.024283,38.854453,6336.0,6.1,2,America/Los_Angeles,2011-07-21 00:00:00,2019-10-09 18:51:00,CA,El Dorado,REV, 
333,Barry Road,PG285,-123.98948,40.71897,2306.0,10.0,229,America/Los_Angeles,2019-04-23 18:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
351,Bartlett Springs Road,PG301,-122.47966,39.16475,2364.0,10.0,229,America/Los_Angeles,2019-04-30 15:24:00,2019-10-09 19:20:00,CA,Colusa,STO, 
197,Barton,PG108,-120.54155,38.44207,3328.0,10.0,229,America/Los_Angeles,2018-09-15 18:14:00,2019-10-09 19:10:00,CA,Amador,STO, 
399,Bass Lake Road,PG357,-121.03204,38.65942,1067.0,10.0,229,America/Los_Angeles,2019-05-17 22:04:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
294,Bay Lane,PG267,-119.17,36.7133,2780.0,10.0,229,America/Los_Angeles,2019-04-02 06:34:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
331,Bear Butte Road,PG254,-123.83931,40.2089,1088.0,10.0,229,America/Los_Angeles,2019-04-20 06:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
115,Bear Creek,PG063,-122.20455,37.911,690.0,10.0,229,America/Los_Angeles,2018-07-17 22:24:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
542,Bear Mountain Road,PG526,-122.28484,40.68708,782.0,10.0,229,America/Los_Angeles,2019-08-06 00:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
252,Bear Valley Road,PG195,-122.43961,39.15678,1340.0,10.0,229,America/Los_Angeles,2018-12-05 18:14:00,2019-10-09 19:20:00,CA,Colusa,STO, 
563,Bear Valley Sub Station,PG518,-120.12745,37.60044,1788.0,10.0,229,America/Los_Angeles,2019-08-12 00:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
379,Beegum Gorge,PG299,-122.88809,40.35695,2678.0,10.0,229,America/Los_Angeles,2019-05-08 06:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
630,Beegum Road,PG538,-122.31075,40.22468,406.0,10.0,229,America/Los_Angeles,2019-09-12 15:14:00,2019-10-09 19:20:00,CA,Tehama,STO, 
434,Ben Hur Road South,PG394,-119.97009,37.30965,1079.0,10.0,229,America/Los_Angeles,2019-05-28 15:34:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
201,Berry Creek,PG099,-121.4295,39.63923,1775.0,10.0,229,America/Los_Angeles,2018-11-04 10:04:00,2019-10-09 19:20:00,CA,Butte,STO, 
105,Berryessa Knoxville Road,PG048,-122.21401,38.50907,603.0,10.0,229,America/Los_Angeles,2018-06-06 19:14:00,2019-10-09 19:20:00,CA,Napa,MTR, 
470,Best Way Road,PG434,-119.80015,37.19771,1059.0,10.0,229,America/Los_Angeles,2019-06-14 03:14:00,2019-10-09 19:20:00,CA,Madera,HNX, 
506,Big Basin Sub,PG472,-122.17139,37.13039,2636.0,10.0,229,America/Los_Angeles,2019-07-09 22:04:00,2019-10-09 19:20:00,CA,Santa Cruz,MTR, 
444,Big Oak Flat Road,PG395,-120.01258,37.8246,2883.0,10.0,229,America/Los_Angeles,2019-05-29 18:14:00,2019-10-09 19:20:00,CA,Tuolumne,STO, 
265,Big Valley Road,PG183,-122.85694,38.99056,1356.0,10.0,229,America/Los_Angeles,2018-12-22 18:14:00,2019-10-09 19:20:00,CA,Lake,STO, 
216,Bigrock Ridge,PG123,-122.59615,38.05436,1636.0,10.0,229,America/Los_Angeles,2018-10-12 14:34:00,2019-10-09 19:10:00,CA,Marin,MTR, 
257,Black Bart Trail,PG187,-123.14974,39.25793,1790.0,10.0,229,America/Los_Angeles,2018-12-18 15:34:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
191,Black Butte,PG107,-121.99563,40.49739,1866.0,10.0,229,America/Los_Angeles,2018-08-31 17:44:00,2019-10-09 19:10:00,CA,Shasta,STO, 
217,Blackhawk Drive,PG135,-123.38776,39.35308,2215.0,10.0,229,America/Los_Angeles,2018-10-18 18:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
239,Blackhawk West,PG160,-123.37315,39.35493,2255.0,10.0,229,America/Los_Angeles,2018-11-08 18:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
47,Blacks Mountain,BKOC1,-121.178953,40.724567,5725.0,6.1,2,America/Los_Angeles,2011-12-07 00:00:00,2019-10-09 19:05:00,CA,Lassen,REV, 
390,Blocksburg,PG323,-123.64113,40.28052,1639.0,10.0,229,America/Los_Angeles,2019-05-11 20:34:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
345,Bloomer Hill,PG264,-121.46339,39.65268,2982.0,10.0,229,America/Los_Angeles,2019-04-29 18:14:00,2019-10-09 19:20:00,CA,Butte,STO, 
451,Blue Heron Road,PG410,-119.50135,37.04611,1674.0,10.0,229,America/Los_Angeles,2019-06-01 15:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
78,Blue Mtn Lookout,ULBC1,-120.364694,38.342333,6043.0,6.1,2,America/Los_Angeles,2016-08-24 19:36:00,2019-10-09 18:33:00,CA,Calaveras,STO, 
362,Blue Sky Road,PG307,-122.19561,40.66059,576.0,10.0,229,America/Los_Angeles,2019-05-03 14:44:00,2019-10-09 19:20:00,CA,Shasta,STO, 
214,Bluff Springs,PG130,-121.8112,40.4188,3133.0,10.0,229,America/Los_Angeles,2018-10-11 01:14:00,2019-10-09 19:10:00,CA,Tehama,STO, 
261,Bohlman Road,PG154,-122.03322,37.21903,2523.0,10.0,229,America/Los_Angeles,2018-12-20 18:14:00,2019-10-09 19:20:00,CA,Santa Clara,MTR, 
129,Bohnen Road,PG062,-121.96026,37.07465,1072.0,10.0,229,America/Los_Angeles,2018-06-14 13:14:00,2019-10-09 19:20:00,CA,Santa Cruz,MTR, 
38,Bolam,BOLC1,-122.209714,41.534125,4489.0,6.1,2,America/Los_Angeles,2011-08-01 00:00:00,2019-10-09 19:03:00,CA,Siskiyou,MFR, 
620,Bolinas Ridge Road,PG489,-122.67639,37.9514,1623.0,10.0,229,America/Los_Angeles,2019-09-02 18:14:00,2019-10-09 19:20:00,CA,Marin,MTR, 
291,Booneville,PG252,-123.37969,39.00962,386.0,10.0,229,America/Los_Angeles,2019-04-02 06:14:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
565,Bootjack,PG522,-119.88278,37.46335,2248.0,10.0,229,America/Los_Angeles,2019-08-12 15:14:00,2019-10-09 19:20:00,CA,Mariposa,HNX, 
395,Briceland Thorn Road,PG365,-123.96312,40.06473,981.0,10.0,229,America/Los_Angeles,2019-05-11 21:04:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
376,Bridgeville Farmhouse,PG338,-123.72375,40.33299,2276.0,10.0,229,America/Los_Angeles,2019-05-07 18:14:00,2019-10-09 19:20:00,CA,Humboldt,EKA, 
120,Briones Road,PG064,-122.13714,37.95705,794.0,10.0,229,America/Los_Angeles,2018-06-13 09:14:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
100,Broadway Street,PG014,-122.21807,37.85414,755.0,10.0,229,America/Los_Angeles,2018-06-06 14:14:00,2019-10-09 19:20:00,CA,Alameda,MTR, 
348,Brownsville,PG309,-121.28217,39.4541,2059.0,10.0,229,America/Los_Angeles,2019-04-30 06:34:00,2019-10-09 19:20:00,CA,Yuba,STO, 
12,Brush Mountain,BHTC1,-123.668781,40.913933,3941.0,6.1,2,America/Los_Angeles,2010-01-01 00:00:00,2019-10-09 18:46:00,CA,Humboldt,EKA, 
484,Bucks Lake Fire Department,PG458,-121.17419,39.8685,5169.0,10.0,229,America/Los_Angeles,2019-06-24 20:44:00,2019-10-09 19:20:00,CA,Plumas,STO, 
350,Bucks Lake Road,PG315,-120.98215,39.94472,3443.0,10.0,229,America/Los_Angeles,2019-04-30 06:34:00,2019-10-09 19:20:00,CA,Plumas,STO, 
355,Bucks Lake Road West,PG311,-121.06098,39.93123,3793.0,10.0,229,America/Los_Angeles,2019-05-01 18:14:00,2019-10-09 19:20:00,CA,Plumas,STO, 
388,Bumper Road,PG359,-120.87774,38.65053,1572.0,10.0,229,America/Los_Angeles,2019-05-10 18:14:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
454,Burma Road,PG408,-119.32605,36.86773,1339.0,10.0,229,America/Los_Angeles,2019-06-01 15:14:00,2019-10-09 19:20:00,CA,Fresno,HNX, 
274,Burney Falls,PG137,-121.63145,41.04457,3070.0,10.0,229,America/Los_Angeles,2019-01-08 18:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
486,Butterfield Stage Road,PG460,-119.67304,37.14073,1555.0,10.0,229,America/Los_Angeles,2019-06-25 03:14:00,2019-10-09 19:20:00,CA,Madera,HNX, 
166,Butts Canyon Road North,PG085,-122.57689,38.7449,1091.0,10.0,229,America/Los_Angeles,2018-08-16 00:34:00,2019-10-09 19:20:00,CA,Lake,STO, 
319,Butts Canyon Road South,PG228,-122.44508,38.67801,1011.0,10.0,229,America/Los_Angeles,2019-04-17 15:24:00,2019-10-09 19:20:00,CA,Napa,MTR, 
143,Byron,KC83,-121.6244,37.8276,79.0,10.0,1,America/Los_Angeles,2018-08-02 16:41:00,2019-10-09 19:15:00,CA,Contra Costa,MTR, 
497,Cal Creek,PG450,-122.0593,40.55757,680.0,10.0,229,America/Los_Angeles,2019-07-06 21:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
69,Calfire 511,TT309,-121.263,38.925861,208.0,6.1,2,America/Los_Angeles,2015-06-03 18:51:00,2019-04-16 19:45:00,CA,Placer,STO, 
86,Calfire Portable 17,TT467,-122.194217,37.1413,2085.0,6.1,2,America/Los_Angeles,2017-09-02 00:26:00,2019-10-08 20:20:00,CA,Santa Cruz,MTR, 
87,Calfire Portable 44,TT468,-120.576139,38.020306,2352.0,6.1,2,America/Los_Angeles,2019-09-13 23:16:00,2019-10-09 19:14:00,CA,Calaveras,STO, 
88,Calfire Portable 55,TT470,-121.886389,40.868028,3441.0,6.1,2,America/Los_Angeles,2018-10-22 15:16:00,2018-12-25 09:14:00,CA,Shasta,STO, 
432,Candy Circle,PG372,-120.67031,38.31571,1681.0,10.0,229,America/Los_Angeles,2019-05-25 03:14:00,2019-10-09 19:20:00,CA,Calaveras,STO, 
490,Cannon Road,PG466,-122.49113,40.2127,955.0,10.0,229,America/Los_Angeles,2019-07-03 21:14:00,2019-10-09 19:20:00,CA,Tehama,STO, 
472,Cantelow Road,PG431,-122.02777,38.42756,618.0,10.0,229,America/Los_Angeles,2019-06-18 00:14:00,2019-10-09 19:20:00,CA,Solano,STO, 
617,Caribou Butte Valley Road,PG589,-121.14166,40.09184,4050.0,10.0,229,America/Los_Angeles,2019-09-01 06:14:00,2019-10-09 19:20:00,CA,Plumas,STO, 
448,Carmel Valley Road,PG416,-121.49475,36.32888,1423.0,10.0,229,America/Los_Angeles,2019-05-31 00:14:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
529,Carson Drive,PG508,-120.57933,38.43324,3091.0,10.0,229,America/Los_Angeles,2019-07-26 03:14:00,2019-10-09 19:20:00,CA,Amador,STO, 
202,Casa Loma,PG124,-120.1164,37.81404,3028.0,10.0,229,America/Los_Angeles,2018-09-29 22:54:00,2019-10-09 19:10:00,CA,Tuolumne,STO, 
436,Cassel Road,PG346,-121.54988,40.91882,3188.0,10.0,229,America/Los_Angeles,2019-05-27 00:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
106,Castro Ranch Road,PG042,-122.2429,37.96847,242.0,10.0,229,America/Los_Angeles,2018-06-07 14:34:00,2019-10-09 19:20:00,CA,Contra Costa,MTR, 
383,Celestial Valley Road,PG350,-121.06618,39.41687,1779.0,10.0,229,America/Los_Angeles,2019-05-09 18:14:00,2019-10-09 19:20:00,CA,Yuba,STO, 
413,Center Gap Road,PG382,-121.67257,39.77332,646.0,10.0,229,America/Los_Angeles,2019-05-21 23:04:00,2019-10-09 19:20:00,CA,Butte,STO, 
183,Centerville,PG086,-122.47785,40.52166,850.0,10.0,229,America/Los_Angeles,2018-08-30 20:04:00,2019-10-09 19:20:00,CA,Shasta,STO, 
133,Chiles Pope Valley Road,PG045,-122.34542,38.54274,867.0,10.0,229,America/Los_Angeles,2018-06-15 17:24:00,2019-10-09 19:20:00,CA,Napa,MTR, 
440,China Gultch Road,PG404,-120.8991,38.26243,742.0,10.0,229,America/Los_Angeles,2019-05-28 21:14:00,2019-10-09 19:20:00,CA,Amador,STO, 
603,Chualar Canyon Road,PG543,-121.43021,36.59245,945.0,10.0,229,America/Los_Angeles,2019-08-29 00:14:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
179,Circle K,PG078,-121.83914,40.52271,3760.0,10.0,229,America/Los_Angeles,2018-08-24 15:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
488,Clark Ranch Way,PG424,-121.23164,39.39839,2061.0,10.0,229,America/Los_Angeles,2019-06-26 00:14:00,2019-10-09 19:20:00,CA,Yuba,STO, 
314,Clark Road,PG300,-121.5778,39.77962,2112.0,10.0,229,America/Los_Angeles,2019-04-13 18:14:00,2019-10-09 19:20:00,CA,Butte,STO, 
481,Clark Road South,PG427,-121.60887,39.6939,710.0,10.0,229,America/Los_Angeles,2019-06-23 03:14:00,2019-10-09 19:20:00,CA,Butte,STO, 
438,Clements Road,PG398,-120.16929,37.87468,2984.0,10.0,229,America/Los_Angeles,2019-05-28 21:14:00,2019-10-09 19:20:00,CA,Tuolumne,STO, 
285,Cloverdale Peak,PG182,-122.9727,38.8682,2660.0,10.0,229,America/Los_Angeles,2019-03-28 15:24:00,2019-10-09 19:20:00,CA,Mendocino,EKA, 
623,Coal Creek Road,PG514,-122.33046,40.84803,1238.0,10.0,229,America/Los_Angeles,2019-09-03 21:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
312,Coalinga Road,PG260,-120.96318,36.40912,2153.0,10.0,229,America/Los_Angeles,2019-04-13 18:14:00,2019-10-09 19:20:00,CA,San Benito,MTR, 
457,Coast Road,PG409,-121.89811,36.37542,404.0,10.0,229,America/Los_Angeles,2019-06-05 00:14:00,2019-10-09 19:20:00,CA,Monterey,MTR, 
207,Cobb Ridge West,PG125,-122.80565,38.81537,3225.0,10.0,229,America/Los_Angeles,2018-10-01 20:14:00,2019-10-09 19:10:00,CA,Sonoma,MTR, 
68,Colby Mountain,CBXC1,-121.522503,40.145639,6004.0,6.1,2,America/Los_Angeles,2015-06-08 17:32:00,2019-10-09 18:27:00,CA,Tehama,STO, 
386,Coleman Fish Hatchery,PG320,-122.11161,40.4139,944.0,10.0,229,America/Los_Angeles,2019-05-10 18:14:00,2019-10-09 19:20:00,CA,Shasta,STO, 
419,Coleman Valley Road,PG380,-122.96517,38.41137,996.0,10.0,229,America/Los_Angeles,2019-05-23 15:14:00,2019-10-09 19:20:00,CA,Sonoma,MTR, 
394,Coloma Road,PG364,-120.9426,38.82755,695.0,10.0,229,America/Los_Angeles,2019-05-11 20:34:00,2019-10-09 19:20:00,CA,El Dorado,STO, 
29,Columbia,KO22,-120.42,38.03,2119.0,10.0,1,America/Los_Angeles,2010-11-01 00:00:00,2019-10-09 19:15:00,CA,Tuolumne,STO, 
489,Columbia Airport,PG464,-120.41019,38.02804,2082.0,10.0,229,America/Los_Angeles,2019-06-26 00:14:00,2019-10-09 19:20:00,CA,Tuolumne,STO, 
396,Concow Road,PG328,-121.4837,39.79947,2785.0,10.0,229,America/Los_Angeles,2019-05-12 19:04:00,2019-10-09 19:20:00,CA,Butte,STO, 
